,MP,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,PF,+/-,PTS,Unnamed: 5,Opp
246,31.0,12.0,20.0,0.0,3.0,7.0,11.0,7.0,1.0,1.0,1.0,2.0,-7.0,31.0,1,10
247,24.0,10.0,15.0,1.0,3.0,2.0,2.0,7.0,0.0,1.0,3.0,0.0,22.0,23.0,1,22
248,30.0,7.0,11.0,2.0,3.0,0.0,2.0,13.0,1.0,2.0,2.0,2.0,11.0,16.0,0,19
249,27.0,4.0,8.0,0.0,1.0,2.0,4.0,5.0,0.0,1.0,2.0,1.0,-4.0,10.0,0,21
250,28.0,7.0,11.0,1.0,2.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,-2.0,17.0,0,1
251,35.0,6.0,17.0,0.0,2.0,2.0,2.0,9.0,1.0,0.0,5.0,2.0,-1.0,14.0,0,11
252,37.0,7.0,15.0,1.0,1.0,5.0,6.0,13.0,1.0,0.0,5.0,2.0,15.0,20.0,0,4
253,21.0,2.0,7.0,0.0,4.0,0.0,0.0,4.0,1.0,2.0,4.0,5.0,2.0,4.0,1,24
254,28.0,7.0,12.0,1.0,3.0,5.0,5.0,12.0,1.0,0.0,3.0,1.0,22.0,20.0,1,25
257,19.0,3.0,8.0,1.0,4.0,1.0,1.0,6.0,0.0,0.0,3.0,2.0,18.0,8.0,1,6
